book_name,book_author,book_author_link,book_name_link,edit_status,book_category,book_tags,book_total_words,book_count_recommends,book_total_clicks,book_summary,book_catalogue_link
我真不是道祖啊,芥湖泊舟,http://home.zongheng.com/show/userInfo/52668164.html,http://book.zongheng.com/book/1173914.html,连载中,奇幻玄幻,"爽文,穿越,搞笑,扮虎吃猪",1018000,5290000,67000,虽然我是从道祖的洞府里走出来的。虽然我是从道祖的仙骨上复活的。虽然我一举一动都有天地异象。虽然我玉树临风风流倜傥。但是……我真不是道祖啊!,http://book.zongheng.com/showchapter/1173914.html
夜烬天下,榭依,http://home.zongheng.com/show/userInfo/51438611.html,http://book.zongheng.com/book/944812.html,连载中,武侠仙侠,"古典仙侠,争霸,异世,武侠",3402000,48000,1218000,传说，有大星坠海，名曰飞垣。坠天之谜，是天灾？是人祸？是偶然？亦或是必然？他是名门将领之后，又是昆仑修仙弟子，伴随着深海处汹涌的阴谋，古老的恩怨重新浮出水面……,http://book.zongheng.com/showchapter/944812.html
怪物餐厅,光痕,http://home.zongheng.com/show/userInfo/50979239.html,http://book.zongheng.com/book/1164120.html,连载中,奇幻玄幻,"架空,生活,变身",1201000,2730000,18000,蓝天市，一座平静祥和的城市。怪物餐厅，一家平淡无奇的餐厅。这里有帅气的中年大叔店长，高冷的青年帅哥，温柔恬静的美女饮品师，可爱甜美的萝莉甜点师，吊儿郎当的不良服务生，性格迥异的双胞胎姐妹花，以及一个自称普通人的’情感大师‘。“所以，这到底是一家什么样的餐厅？”店长：“这就是一家普普通通的餐厅。”“我信你个鬼！”,http://book.zongheng.com/showchapter/1164120.html
重生逐梦2002,冷月颦,http://home.zongheng.com/show/userInfo/52990733.html,http://book.zongheng.com/book/1179060.html,连载中,都市娱乐,"重生,热血,赚钱",798000,2730000,36000,林浩在爆发怒打上司以后，面对生活的一地鸡毛，成年人得奔溃往往只在一瞬间！重生2002，再次踏上大学的征途——那些错误的遇见，让她随风而去——那些错过的遗憾，努力的弥补。那些我想守护的，定要全力守护。再回首，我那些可爱的同学，亲爱的教官，可敬的老师，是那么那么的可爱。白手起家，拈花逐月，商场尔虞我诈，人情冷暖！滚滚长江东势水，淘尽天下英雄！,http://book.zongheng.com/showchapter/1179060.html
百链成神,吃黄瓜,http://home.zongheng.com/show/userInfo/53942575.html,http://book.zongheng.com/book/1219534.html,连载中,奇幻玄幻,"热血,无敌流,玄幻,东方玄幻",40000,10000,780000,身世神秘的少年降临天元大陆，什么妖孽天骄，在我面前不值一提，优柔寡断不是我的风格，极致的杀戮才是我的战场！天不容我，我便逆了这天，神要诛我，我便斩了这神！芸芸众生不服我，我将上至九天，下至九幽，杀到无一人敢言！黄金盛世，天骄妖孽，为我独尊。不圣母，单女主，杀伐果断，亦正亦邪。,http://book.zongheng.com/showchapter/1219534.html
陛下何故造反,竹杖翁,http://home.zongheng.com/show/userInfo/53109192.html,http://book.zongheng.com/book/1121165.html,连载中,历史军事,"穿越历史,王朝争霸,重生皇帝,扮猪吃老虎",1451000,1000000,46000,一个苦逼的雇佣兵穿越了，只想本本分分做个皇帝，他错了么？项阳好不容易做了一回皇帝，居然还被国丈把控朝政，他不得不制造原始的火药，开启逆袭之路。敢觊觎老子皇位者，炸无赦！,http://book.zongheng.com/showchapter/1121165.html
心中一念,陈不虚,http://home.zongheng.com/show/userInfo/53957942.html,http://book.zongheng.com/book/1220643.html,连载中,奇幻玄幻,"升级,爽文,异世,废柴流",17000,50000,740000,剑起为人，为守护之剑；若恨，为杀戮之剑；我有一念，可为剑，心起，剑戮山河，念落，护心之所安,http://book.zongheng.com/showchapter/1220643.html
万古王者,苦大人,http://home.zongheng.com/show/userInfo/52813649.html,http://book.zongheng.com/book/1217289.html,连载中,奇幻玄幻,"热血,争霸,英雄无敌",81000,150000,1390000,一名少年从一席城中走出，背负着救赎之心，一路无畏前行，爱情、友情、亲情面前，他将会如何面对与抉择......,http://book.zongheng.com/showchapter/1217289.html
众神史记三,上神史官,http://home.zongheng.com/show/userInfo/50514280.html,http://book.zongheng.com/book/1125295.html,连载中,奇幻玄幻,"争霸,异世",588000,0,8810000,众神史记第三卷军阵旗战争，主述军阵旗为人族生存与众妖进行的一系列战争。妖皇为终结众灵战争，机缘巧合之下围绕物竞天择，与众灵签订众灵协约。军阵旗大总领鬼智智道怒而苍生惊，施展灵魂之术正邪刻印，假宗教玄门之手.....正邪刻印天下苍生。,http://book.zongheng.com/showchapter/1125295.html
明月照江湖,落黄泉,http://home.zongheng.com/show/userInfo/42389858.html,http://book.zongheng.com/book/1221375.html,连载中,武侠仙侠,"慢热,江湖,武侠,暗器",31000,0,250000,江湖路远，少年慢行。,http://book.zongheng.com/showchapter/1221375.html
